昵称,点赞数,时间,评论
哈哈妹老豆,1,2024/7/15 9:18,那些车主坐车里的，自动驾驶都老撞车。。。 这种完全没司机，真的靠谱。
记得添写名字,1,2024/7/15 9:18,出租车也搞了，把黄包车拉起来，就业岗位更多
好运降临,1,2024/7/15 9:18,这钱不该被企业收，应该被国家收然后反馈给民生，要不然人民生活会越来越难
陈立,1,2024/7/15 9:17,说的好，
陌生的默笙,1,2024/7/15 9:17,这就是未来趋势，以后有钱的可以用快速的无人，没钱的用公共无人。
悠悠鸡悠,1,2024/7/15 9:16,无人工厂 就代表很多人没有工作
用户9498914497592,1,2024/7/15 9:15,有的人想着法要垄断市场，你要是让他为民出30%义务，取之于民用之于民试试呢
阳仔??,1,2024/7/15 9:15,无人驾驶技术可以运用，但绝对不能过度依赖，特殊情况下，可以让无人驾驶先介入一段时间，比如司机很疲劳的时候
用户3485254185798,1,2024/7/15 9:14,你说的太对了，说出老百姓的心思你说的态度，我特别赞成赞成，你特别赞成，给你点个赞
东菱包装,1,2024/7/15 9:14,打了多少人饭碗，照样有多少人得到实惠方便，人是灵活的
daodoutudou,1,2024/7/15 9:12,无人驾驶可以先应用到私人汽车上。
热爱生活的黎明,1,2024/7/15 9:12,这么先进这么环保这么安全为啥不在政府部门推广？
Rainbo281,1,2024/7/15 9:10,无人驾驶都提出好几年时间了，实际上又不是一下全国否铺开的[看]
幸福人生（拒私聊）,1,2024/7/15 9:10,支持主播说的好[鼓掌][鼓掌][鼓掌]
回白℃,1,2024/7/15 9:10,特斯拉的FSD了解一下，百度不搞，路上跑的就是特斯拉了
不缺,1,2024/7/15 9:09,期待无人驾驶网约车快点全国铺开。
格有情，神无意,1,2024/7/15 9:09,无人出租车和电商有区别吗？
杭州泰华汽车租赁有限公司,1,2024/7/15 9:08,看了这么多相关视频，就兄弟说的有理有据[赞]
心灵之约婚介刘老师,1,2024/7/15 9:07,为正义的人点赞[赞][赞][赞][赞][赞]
行走的催泪瓦斯,1,2024/7/15 9:06,说让1000万网约车师傅们做维修师工程师的营销号是脸都不要了[微笑]
龙行天下??,1,2024/7/15 9:06,现在估计是在武汉试点，看一下社会和人们的反应，估计暂时不会扩大范围[玫瑰]
雾起??,1,2024/7/15 9:05,都这样吗？
尘封泊浪,1,2024/7/15 9:05,将来人不用工作了。但资源要从新分配。
用户6258128270446,1,2024/7/15 9:04,支持你
流云,1,2024/7/15 9:04,你看到的今天，就是从春天开始的！
清風,1,2024/7/15 9:04,等到我们都没有经济来源的时候，国家会发安置金
卡气喷枪卡式炉工厂直销,1,2024/7/15 9:03,这个如果推广开来，利益将会集中到几个人的手中，平民老百姓的日子会更难过！
發,1,2024/7/15 9:03,给你一个赞
??宏鑫果蔬??,1,2024/7/15 9:03,主播，你应该去跑滴滴
低吸王道,1,2024/7/15 9:02,电子厂机械厂，打螺丝的非常辛苦。打12小时。可以收入不变，强制要求只能干6小时。司机可以去做，也可以加入制造业，智能驾驶企业分担养这部分人。就是如何分蛋糕的问题。机器人汽车干活，人不干活也有收入才对
蒗?の回忆,1,2024/7/15 9:01,无人驾驶，你们敢不敢坐我不知道！反正我不敢
杨洪勋,1,2024/7/15 9:01,说得太好了！无人驾驶用在别的领域，不要用在网约车！[比心]
平心静气,1,2024/7/15 9:01,无人驾驶能不能承诺10年一直这么便宜
??丹丹??,1,2024/7/15 9:00,现在地图也有了 哪里有个隐蔽地方都被透视标示出来了[泪奔][泪奔]
亮哥,1,2024/7/15 9:00,开到隧道没信号咋办
42386535152,1,2024/7/15 9:00,科技在进步，无人驾驶是汽车的配置可以有，但不能运营
人生何處不相逢,1,2024/7/15 8:59,那个堵车的视频啥原因？没有单的那个车在路口堵车是咋处理的
亚洲龙,1,2024/7/15 8:58,铁子们，把人工智能反过来再解读一下
安柒柒??????,1,2024/7/15 8:58,上班已经在给资本打工了 下班还想从我手里把钱赚回去？做你的梦去吧[抠鼻]我宁愿贵点也不会打无人驾驶车！因为我知道我付的车钱是别人一家子赖以生存的血汗钱[抠鼻]
爆走老常,1,2024/7/15 8:58,它们为什么不敢吧公务车换成自动驾驶？谁明白这是为什么？
惊涛骇浪,1,2024/7/15 8:58,欲练中华神功～必先自宫[捂脸]
溺水鱼,1,2024/7/15 8:55,私家车先用啊！
潘帅摄影,1,2024/7/15 8:55,主要还是安全问题
果,1,2024/7/15 8:54,希望你不要为今天的言论道歉[暗中观察]
16226,1,2024/7/15 8:54,应该是有出租车的有出租车营运证的，每辆车换上一辆无人驾使车。其它单位与个人不得上这种车。[赞][赞][赞][赞][赞][赞][赞][赞][赞][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]
大   运,1,2024/7/15 8:54,百度应该快被国家核算了，同意的顶起[赞][赞]
一只狒狒！,1,2024/7/15 8:53,守住自己的农村的那几块地吧，看来我还是适合回去种田
心中的那个你,1,2024/7/15 8:53,这样搞下去越没有人生孩子了，以后都是机器人的时代
一只小虫子,1,2024/7/15 8:53,支持科技进步，但是请人类先赋予科技温度
金钻院长,1,2024/7/15 8:53,支持无人驾驶：因为我以后打车不用那么费
du.fu.tai,1,2024/7/15 8:52,现在是无人驾驶以后是无人城市
三人行必有老司机！,1,2024/7/15 8:52,防止资本无序扩张
夜恋晨,1,2024/7/15 8:52,无人驾驶技术: AI+互联网+物联网+
美东汇,1,2024/7/15 8:51,如果出现紧急情况 路口红绿灯不工作 由交警现场指挥 它能看懂手势吗。
不想上班,1,2024/7/15 8:51,其它国家有无人驾驶了吗[看]
会飞的鸵鸟,1,2024/7/15 8:50,我家祖上是拉黄包车的，那些开出租车的司机砸了我们祖上的饭碗。有没有人替我说话。[白眼]
六兄妹的老大,1,2024/7/15 8:49,支持人工智能，支持萝卜快跑！
文锋（路亚佬）,1,2024/7/15 8:49,外卖，滴滴打车，共享充电宝，刚开始够便宜了吧，现在呢？！？为了省这点路费多少人的下岗。[流泪]
黄小娟??????,1,2024/7/15 8:49,你敢保证无人驾驶车，不出意外吗？想过没有万一出事了，你的生命谁会来负责
清,1,2024/7/15 8:48,数据安全吗？
阿铭,1,2024/7/15 8:48,人工智能最应该发展的方向是救灾，是排爆，是航天探月，是医疗领域，是挖矿，是通下水道，是危险品行业，是高原地区边境巡检，是人类无法完成的项目才是为人类造福，而不是抢那些服务人员的生存岗位，科技走错了方向！造福大多数人才算有价值
Frank731,1,2024/7/15 8:48,感觉吐沫星子都快飞出来了
-.-,1,2024/7/15 8:48,的确会冲击行业，但是你们能阻挡住社会进步的步伐吗？网约车、外卖行业人满为患，而大量的制造业却招不到人，这也在倒逼这些行业的人往制造业流动，我觉得没有问题
皮特潘,1,2024/7/15 8:48,百度把2500万网约车司机全收了？？？
感恩遇见????,1,2024/7/15 8:48,可以让私家车安装无人驾驶，让更多的人体验一下无人驾驶的感受，而不是垄断经营！
张十八,1,2024/7/15 8:46,电商发展了那么多年到今天，那请问今天的人就准备好了吗？
红彩,1,2024/7/15 8:45,先进的科技要用在守国，强国方面为先，让别国不敢轻视我国，让别国不敢招惹我国。
亚文,1,2024/7/15 8:45,资本的贪婪是无止境的
亚文,1,2024/7/15 8:44,无人驾驶现在可以这么应用，那我就可以没驾照开无人驾驶车
雨微佳慧,1,2024/7/15 8:43,让老百姓都不坐
苏昱,1,2024/7/15 8:43,无人驾驶可以，网约车也可以，但是无人驾驶的网约车就不应该存在。
默念微凉,1,2024/7/15 8:43,不给人留条路 人们就会踏出一条新路 [捂脸]:
平安,1,2024/7/15 8:43,为什么股伤定在百分之二十八左右
秋意浓,1,2024/7/15 8:43,
亚文,1,2024/7/15 8:42,无人驾驶技术是未来，但是现在不应该瞄准1000 万人的饭碗
晨曦  孤狼,1,2024/7/15 8:41,建议每一步无人驾驶出租车必须配一个应急安全员
韦  小宝,1,2024/7/15 8:41,为什么这个车叫箩卜呢，箩卜长的跟导弹似的，无非是在暗示着啥吗[发呆][发呆][发呆][发呆][发呆]
宁乡思嘉拉,1,2024/7/15 8:40,油价下降了，物价下降了，成本降低了，打车也便宜了
ccch,1,2024/7/15 8:40,有没有可能未来，一颗脉冲导弹，整个城都瘫痪
悟。道。。明。。,1,2024/7/15 8:39,人工智能应该用在人力达不到到的地方没人去干的那种活它是服务于人而不是取代人主次都不分
@YANG東$,1,2024/7/15 8:38,无人驾驶可以投放，但是得有比例。这样可以提高出租车、网约车的服务质量。良性竞争！
风清,1,2024/7/15 8:37,这些车上路都不需要上牌吗
勇敢的心??,1,2024/7/15 8:37,电商不是机器人干哦，电商的背后也是实体经济……
?橱窗男孩?,1,2024/7/15 8:37,这么多无线网络会不会对人体大量辐射
七品芝麻铲屎官,1,2024/7/15 8:37,电商抢了实体的生意，但是电商创造的岗位一点不比实体少
虎赤兔,1,2024/7/15 8:37,一千万司机的碗动一下就掀起了网络热潮，8亿农民的碗都烂的豁豁牙牙的谁又说什么了？
Jam21,1,2024/7/15 8:35,无人驾驶没有司机靠谱。智能的东西难免会故障
陈柏豪,1,2024/7/15 8:34,那么多老百姓要养家糊口如何解决？
天天向上2020,1,2024/7/15 8:34,我喜欢这么好科技，以后越来越多的工种都会被替代，我决定了躺平[捂脸]
许多多,1,2024/7/15 8:33,大量的测试数据从哪里来，
君临天下,1,2024/7/15 8:33,是时候站起来了
彪悍人生,1,2024/7/15 8:33,可以并存 互相制约 谁服务不好 就减少谁的数量
用户3223956184649,1,2024/7/15 8:33,那么多年轻人要工作
雨露阳光,1,2024/7/15 8:32,主播说的对，我老公50了，被公司裁员了，找了很多工作都嫌年纪大了，现在在开出租车，每天早上7点出门到晚上12点左右才到家，起早摸黑。还要养家糊口还要还贷。
铁焊子,1,2024/7/15 8:26,有这技术，交警的罚款就没了[呲牙]
YCAI,1,2024/7/15 8:26,你可以无人驾驶 但是得凌晨到凌晨6点
阿海,1,2024/7/15 8:26,全国的政务服务大厅全部採用自动化，这样就能解决财政压力。
抵抗力,1,2024/7/15 8:26,有啥办法，人家也是正规公司又不犯法，能拿他们怎么办？
曼妥乐,1,2024/7/15 8:26,优胜劣汰不应该吗？
低压高,1,2024/7/15 8:24,无人驾驶技术要是用在私家车上，没有用在网约车上来钱快。就是这么简单。
无私的变速器,1,2024/7/15 8:24,我你禁止不了的，想想吧，投放无人驾驶汽车的是谁，那是私营企业，私营企业的宗旨就是赚钱，无人驾驶汽车自然比司机开车赚的钱多，所以那些一心想着钱的资本家肯定不会像你想的那样去做啊！
阿海,1,2024/7/15 8:24,小民怎么活
高先进,1,2024/7/15 8:23,说的这么好.政府什么时采购？
爰国爱家,1,2024/7/15 8:22,这车好成间谍了。
好,1,2024/7/15 8:21,私家车无人驾驶不行吗？
福运伴随,1,2024/7/15 8:21,现在不只是单单出租车下岗，快递小哥和各个行业都有
星之仁,1,2024/7/15 8:21,中国的水电站还没有100%全开，知道为什么吗？为的就是火电站的工人要生存啊，
用户9458802006148,1,2024/7/15 8:21,关键是萝卜也不便宜啊 那只是优惠券而已
A落叶舞秋风,1,2024/7/15 8:20,自动驾驶就不应该恶意竞争市场[感谢][感谢]
来的刚刚好,1,2024/7/15 8:20,这是落后的趋势
是杰,1,2024/7/15 8:19,那网络黑客攻击了无人驾驶系统，那车辆的行驶安全，谁来保障
西海情歌,1,2024/7/15 8:19,给你个大大的赞[赞][赞][赞][赞][赞][赞]
拿铁勇士,1,2024/7/15 8:19,未来大部分人赚钱的途径只有一个，在家蹬自行车发电
平凡,1,2024/7/15 8:18,说得很到位
快跑不跑,1,2024/7/15 8:18,如果有一天衙门用车全面换无人驾驶了，我愿意尝试萝卜车[呲牙]
平安是福,1,2024/7/15 8:17,希望政府能为百姓的利益放在心上
逆天改命,1,2024/7/15 8:17,我赞成崔磊说的对给人留条路  欲速则不达，我只是个普通人不懂科技但我知道这种车以后肯定很多各种问题不信大家拭目以待，无论你怎么改进我想都会有这样的那样的问题
阳,1,2024/7/15 8:16,如果违章了扣分要扣谁的分？
人生尽扯淡,1,2024/7/15 8:16,那些说无人驾驶网约车好的，后面你就知道了。  现在不说现在说多了是在给无人驾驶提意见。
今生宝贝,1,2024/7/15 8:16,[赞][赞][赞][赞]中国国情重要
卫冯王,1,2024/7/15 8:15,主播说的太对啦！坚决支持你[赞][赞][赞][赞][赞][赞][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰]
地图上的战争,1,2024/7/15 8:13,我就支持无人出租车
共赢,1,2024/7/15 8:12,互联网，智能化产业只有走消费者所有制才是正确的方向
强弱电安装,1,2024/7/15 8:11,不管怎么说，都无法阻止科技进步
霄辕展,1,2024/7/15 8:11,再不用特斯拉就来了，你说咋办
海哥哥,1,2024/7/15 8:11,对，大家反对的不是无人驾驶技术，而是反对这种商业模式，被有些人偷换了概念
景慕飞越,1,2024/7/15 8:10,黄包车是人力车跟机动车比不了速度，无人驾驶、有人驾驶都是机动车，不存在差距！只要有人驾驶师傅勤快一点也不可能没生意的。有很多人打车是因为事情急，差个几块钱根本不是事，那现在私家车家家都有，为什么还要打车呢？
泰来,1,2024/7/15 8:10,[赞][赞][赞][赞][赞][赞][赞][赞][赞]
天高任鸟飞??,1,2024/7/15 8:10,如果别恶意超低价竞争和大批量投入，老百性不会反应这么强烈的。
娱乐经济学,1,2024/7/15 8:09,你只是站在百姓的观点搞波流量而已 这才是你的真实目的
森哥地理,1,2024/7/15 8:09,高瞻远瞩！民以食为天！得民心者得天下！
静馨,1,2024/7/15 8:09,说的对[赞][赞][赞][赞][赞]
一个人,1,2024/7/15 8:09,那我问你，机器人已经代替了人工的搬运卸货，厨师，奶茶师傅，现在连司机也代替了，以后没有人上班都被机器代替人们没有工作，就没有钱没钱就吃不了饭，没钱就没法消费，没消费，你这些人工智能代替的工作，有什么意义。
徽哥,1,2024/7/15 8:07,支持主播[赞][赞][赞][赞]
S-fzzf,1,2024/7/15 8:07,油价太贵了，以后都坐萝卜了[赞]
西方不败,1,2024/7/15 8:06,拿什么驱动普通人现在就是开始用自动驾驶呢？目前看就是自动驾驶网约车
9818765778,1,2024/7/15 8:05,吃上饭是大事！
万能阿漫,1,2024/7/15 8:05,不管公有理，婆有理，－句总话，引起了公愤，就不好说了！
